iter	Passed	Remaining
2228	5608243	6516531
2229	5610770	6514028
2230	5613417	6511665
2231	5616653	6509982
2232	5618783	6507019
2233	5621535	6504775
2234	5623426	6501536
2235	5624976	6497904
2236	5626371	6494095
2237	5628224	6490815
2238	5629539	6486918
2239	5630841	6483009
2240	5632220	6479189
2241	5633799	6475602
2242	5635178	6471788
2243	5636495	6467903
2244	5637861	6464077
2245	5639250	6460281
2246	5640559	6456395
2247	5641987	6452646
2248	5643411	6448895
2249	5645071	6445417
2250	5646523	6441702
2251	5647879	6437880
2252	5649382	6434228
2253	5651358	6431115
2254	5652850	6427454
2255	5654089	6423507
2256	5655556	6419820
2257	5656964	6416069
2258	5658480	6412443
2259	5659758	6408550
2260	5661055	6404678
2261	5662311	6400765
2262	5663567	6396853
2263	5665081	6393234
2264	5666480	6389488
2265	5667791	6385645
2266	5669102	6381803
2267	5670356	6377901
2268	5671738	6374143
2269	5673155	6370428
2270	5674350	6366465
2271	5675473	6362425
2272	5676685	6358487
2273	5677868	6354518
2274	5678973	6350465
2275	5680275	6346634
2276	5681445	6342658
2277	5682621	6338692
2278	5683845	6334782
2279	5685074	6330879
2280	5686256	6326926
2281	5687848	6323431
2282	5689183	6319653
2283	5690426	6315775
2284	5691987	6312251
2285	5693194	6308338
2286	5694677	6304733
2287	5696017	6300969
2288	5697221	6297059
2289	5698904	6293681
2290	5700535	6290245
2291	5701836	6286448
2292	5703294	6282827
2293	5704516	6278946
2294	5705874	6275218
2295	5707272	6271536
2296	5708569	6267746
2297	5709856	6263946
2298	5711150	6260155
2299	5712372	6256290
2300	5713627	6252461
2301	5714776	6248519
2302	5716365	6245061
2303	5717592	6241209
2304	5718772	6237307
2305	5719958	6233414
2306	5721204	6229590
2307	5722353	6225662
2308	5723605	6221849
2309	5724753	6217924
2310	5725862	6213960
2311	5727017	6210048
2312	5728672	6206681
2313	5729829	6202776
2314	5730993	6198880
2315	5732214	6195048
2316	5733479	6191267
2317	5734860	6187612
2318	5736173	6183886
2319	5737573	6180256
2320	5739034	6176694
2321	5740207	6172824
2322	5741432	6169011
2323	5742845	6165404
2324	5744175	6161708
2325	5745338	6157837
2326	5746772	6154257
2327	5748005	6150464
2328	5749258	6146695
2329	5750769	6143203
2330	5752491	6139939
2331	5753740	6136172
2332	5754899	6132310
2333	5756107	6128503
2334	5757377	6124765
2335	5758617	6120996
2336	5759778	6117146
2337	5761032	6113396
2338	5762148	6109503
2339	5763336	6105688
2340	5764633	6101990
2341	5765867	6098229
2342	5767067	6094434
2343	5768371	6090750
2344	5769554	6086941
2345	5770728	6083125
2346	5771903	6079311
2347	5773002	6075420
2348	5774388	6071835
2349	5775705	6068177
2350	5777213	6064722
2351	5778490	6061027
2352	5779705	6057269
2353	5780873	6053463
2354	5782417	6050053
2355	5783662	6046332
2356	5784977	6042687
2357	5786213	6038961
2358	5787599	6035394
2359	5788940	6031781
2360	5790210	6028097
2361	5792256	6025221
2362	5793588	6021605
2363	5794953	6018024
2364	5796242	6014367
2365	5797420	6010597
2366	5799207	6007460
2367	5800382	6003689
2368	5801835	6000209
2369	5803027	5996461
2370	5804481	5992986
2371	5806008	5989587
2372	5807221	5985867
2373	5808625	5982346
2374	5810081	5978879
2375	5811336	5975208
2376	5812565	5971511
2377	5814028	5968059
2378	5815324	5964435
2379	5816706	5960902
2380	5817958	5957237
2381	5819213	5953577
2382	5820527	5949981
2383	5821761	5946304
2384	5823130	5942766
2385	5825061	5939804
2386	5826412	5936252
2387	5827658	5932595
2388	5828958	5928995
2389	5830243	5925381
2390	5831550	5921791
2391	5832746	5918092
2392	5833879	5914330
2393	5835074	5910633
2394	5836333	5907002
2395	5837501	5903283
2396	5838655	5899550
2397	5839818	5895830
2398	5840932	5892061
2399	5842050	5888300
2400	5843220	5884592
2401	5844423	5880921
2402	5845670	5877294
2403	5846967	5873721
2404	5848348	5870233
2405	5849614	5866633
2406	5851196	5863350
2407	5852501	5859792
2408	5853777	5856207
2409	5855085	5852656
2410	5856346	5849059
2411	5857486	5845343
2412	5859041	5842045
2413	5860220	5838371
2414	5861612	5834913
2415	5862867	5831320
2416	5864696	5828300
2417	5866949	5825701
2418	5868285	5822193
2419	5869649	5818714
2420	5870958	5815183
2421	5872225	5811612
2422	5873471	5808022
2423	5875053	5804765
2424	5876398	5801277
2425	5877624	5797673
2426	5878951	5794170
2427	5880153	5790546
2428	5881437	5787005
2429	5882746	5783490
2430	5884225	5780143
2431	5885446	5776546
2432	5886750	5773031
2433	5888003	5769469
2434	5889618	5766263
2435	5890855	5762688
2436	5892246	5759265
2437	5893532	5755742
2438	5894891	5752292
2439	5896143	5748739
2440	5897537	5745327
2441	5898921	5741906
2442	5900149	5738336
2443	5901396	5734785
2444	5902849	5731437
2445	5904167	5727960
2446	5905532	5724529
2447	5907000	5721200
2448	5908145	5717559
2449	5909306	5713937
2450	5910607	5710452
2451	5912211	5707260
2452	5913435	5703705
2453	5914911	5700393
2454	5916480	5697173
2455	5917871	5693782
2456	5919666	5690782
2457	5921010	5687349
2458	5922234	5683803
2459	5923407	5680210
2460	5924880	5676906
2461	5926082	5673345
2462	5927322	5669822
2463	5928535	5666274
2464	5929772	5662752
2465	5931013	5659235
2466	5932314	5655777
2467	5934334	5653006
2468	5935969	5649869
2469	5937285	5646430
2470	5938393	5642795
2471	5939551	5639210
2472	5940863	5635772
2473	5942388	5632539
2474	5943644	5629051
2475	5944819	5625489
2476	5945934	5621872
2477	5947112	5618317
2478	5948221	5614698
2479	5949561	5611300
2480	5950743	5607754
2481	5951858	5604146
2482	5953027	5600593
2483	5954259	5597099
2484	5955365	5593490
2485	5956518	5589926
2486	5957658	5586352
2487	5958851	5582830
2488	5959973	5579243
2489	5961055	5575621
2490	5962168	5572030
2491	5963357	5568512
2492	5964464	5564919
2493	5965780	5561523
2494	5967040	5558076
2495	5968356	5554684
2496	5969768	5551382
2497	5971117	5548024
2498	5972443	5544645
2499	5973907	5541396
2500	5975318	5538099
2501	5976861	5534927
2502	5978997	5532304
2503	5980835	5529406
2504	5982590	5526432
2505	5983797	5522954
2506	5985050	5519519
2507	5986599	5516360
2508	5987903	5512975
2509	5989590	5509945
2510	5991151	5506800
2511	5992409	5503378
2512	5993698	5499987
2513	5994892	5496510
2514	5996023	5492977
2515	5997279	5489560
2516	5998511	5486124
2517	5999846	5482782
2518	6001038	5479312
2519	6002198	5475815
2520	6003531	5472477
2521	6004734	5469023
2522	6005909	5465544
2523	6007204	5462176
2524	6008450	5458766
2525	6009592	5455263
2526	6010857	5451873
2527	6012045	5448416
2528	6013270	5444993
2529	6014464	5441545
2530	6015752	5438182
2531	6016929	5434722
2532	6018048	5431211
2533	6019279	5427803
2534	6020416	5424312
2535	6021632	5420893
2536	6022830	5417461
2537	6024125	5414117
2538	6025316	5410682
2539	6026562	5407297
2540	6027808	5403914
2541	6028981	5400468
2542	6030169	5397037
2543	6031347	5393599
2544	6032965	5390555
2545	6034184	5387156
2546	6035372	5383732
2547	6036811	5380532
2548	6038189	5377281
2549	6039729	5374175
2550	6041237	5371041
2551	6042350	5367558
2552	6043583	5364183
2553	6044782	5360779
2554	6046079	5357465
2555	6047260	5354049
2556	6048571	5350750
2557	6049734	5347322
2558	6050967	5343956
2559	6052142	5340542
2560	6053267	5337086
2561	6054463	5333693
2562	6055557	5330214
2563	6056670	5326752
2564	6057973	5323459
2565	6059245	5320140
2566	6060508	5316815
2567	6061803	5313519
2568	6062973	5310116
2569	6064152	5306723
2570	6065473	5303455
2571	6066615	5300033
2572	6067756	5296611
2573	6068944	5293232
2574	6070129	5289852
2575	6071368	5286521
2576	6072682	5283256
2577	6073960	5279963
2578	6075086	5276539
2579	6076239	5273139
2580	6077415	5269762
2581	6078637	5266425
2582	6079783	5263026
2583	6080976	5259668
2584	6082204	5256342
2585	6083429	5253015
2586	6084522	5249576
2587	6085764	5246267
2588	6086933	5242897
2589	6088061	5239494
2590	6089157	5236064
2591	6090314	5232689
2592	6091485	5229327
2593	6092907	5226182
2594	6094453	5223146
2595	6095742	5219890
2596	6096994	5216604
2597	6098241	5213315
2598	6099507	5210045
2599	6100742	5206749
2600	6102390	5203807
2601	6103682	5200562
2602	6104890	5197248
2603	6106246	5194061
2604	6107384	5190690
2605	6108459	5187268
2606	6109648	5183943
2607	6110798	5180588
2608	6111948	5177235
2609	6113121	5173902
2610	6114369	5170635
2611	6115570	5167329
2612	6116742	5164000
2613	6117953	5160706
2614	6119103	5157363
2615	6120331	5154086
2616	6121606	5150851
2617	6122810	5147557
2618	6124032	5144280
2619	6125154	5140921
2620	6126279	5137566
2621	6127462	5134262
2622	6128777	5131069
2623	6129907	5127723
2624	6131166	5124487
2625	6132386	5121219
2626	6133718	5118047
2627	6134920	5114768
2628	6136047	5111428
2629	6137178	5108092
2630	6138299	5104750
2631	6139537	5101507
2632	6140708	5098210
2633	6141847	5094888
2634	6143197	5091742
2635	6144356	5088441
2636	6145559	5085176
2637	6146791	5081938
2638	6147997	5078679
2639	6149150	5075378
2640	6150307	5072082
2641	6151689	5068973
2642	6152767	5065616
2643	6153900	5062304
2644	6155029	5058992
2645	6156199	5055714
2646	6157320	5052398
2647	6158455	5049096
2648	6159580	5045786
2649	6160691	5042468
2650	6161864	5039201
2651	6163183	5036055
2652	6164597	5032988
2653	6165738	5029699
2654	6166897	5026428
2655	6168012	5023121
2656	6169226	5019897
2657	6170471	5016699
2658	6171607	5013415
2659	6172878	5010242
2660	6174116	5007044
2661	6175279	5003785
2662	6176454	5000539
2663	6177784	4997419
2664	6178905	4994132
2665	6180135	4990934
2666	6181274	4987664
2667	6182435	4984415
2668	6183649	4981209
2669	6184850	4977993
2670	6186032	4974765
2671	6187170	4971502
2672	6188331	4968260
2673	6189549	4965064
2674	6190721	4961834
2675	6191842	4958564
2676	6192966	4955298
2677	6194041	4951995
2678	6195134	4948707
2679	6196470	4945615
2680	6197827	4942542
2681	6199003	4939325
2682	6200188	4936117
2683	6201352	4932893
2684	6202530	4929683
2685	6203688	4926458
2686	6204959	4923324
2687	6206117	4920102
2688	6207286	4916890
2689	6208507	4913722
2690	6209630	4910477
